Country,Year,Population,Population_predicted
Guinea,1995,7446,7759
Guinea,2000,8351,8606
Guinea,2005,9154,9452
Guinea,2010,10325,10299
Guinea,2015,11781,11146
Guinea,2020,13420,11992
Guinea-Bissau,1995,1144,1194
Guinea-Bissau,2000,1279,1303
Guinea-Bissau,2005,1415,1412
Guinea-Bissau,2010,1566,1521
Guinea-Bissau,2015,1727,1630
Guinea-Bissau,2020,1893,1740
Guyana,1995,769,754
Guyana,2000,785,766
Guyana,2005,775,778
Guyana,2010,746,791
Guyana,2015,736,803
Guyana,2020,751,815
Haiti,1995,7571,7597
Haiti,2000,8413,8206
Haiti,2005,9205,8814
Haiti,2010,9649,9423
Haiti,2015,10111,10031
Haiti,2020,10693,10639
Honduras,1995,5551,5765
Honduras,2000,6360,6396
Honduras,2005,7194,7028
Honduras,2010,7990,7660
Honduras,2015,8747,8291
Honduras,2020,9466,8923
Hong Kong,1995,6223,5937
Hong Kong,2000,6656,6307
Hong Kong,2005,6905,6676
Hong Kong,2010,7030,7046
Hong Kong,2015,7142,7415
Hong Kong,2020,7250,7785
Hungary,1995,10281,10226
Hungary,2000,10148,10199
Hungary,2005,10058,10171
Hungary,2010,9993,10143
Hungary,2015,9898,10115
Hungary,2020,9772,10088
Iceland,1995,268,274
Iceland,2000,282,288
Iceland,2005,297,303
Iceland,2010,318,317
Iceland,2015,332,331
Iceland,2020,358,346
India,1995,920585,929847
India,2000,1006301,1004371
India,2005,1090974,1078895
India,2010,1173109,1153418
India,2015,1251696,1227942
India,2020,1326094,1302466
Indonesia,1995,197604,198895
Indonesia,2000,214091,213973
Indonesia,2005,229245,229051
Indonesia,2010,243423,244129
Indonesia,2015,255994,259206
Indonesia,2020,279080,274284
Iran,1995,64218,60090
Iran,2000,68632,65915
Iran,2005,72283,71740
Iran,2010,76924,77565
Iran,2015,81825,83390
Iran,2020,86544,89215
Iraq,1995,19658,23074
Iraq,2000,23129,25881
Iraq,2005,27538,28688
Iraq,2010,30527,31494
Iraq,2015,37057,34301
Iraq,2020,42213,37108
Ireland,1995,3614,3915
Ireland,2000,3823,4099
Ireland,2005,4200,4283
Ireland,2010,4623,4468
Ireland,2015,4893,4652
Ireland,2020,5177,4836
Isle of Man,1995,73,72
Isle of Man,2000,76,76
Isle of Man,2005,80,80
Isle of Man,2010,84,83
Isle of Man,2015,88,87
Isle of Man,2020,91,91
Israel,1995,5335,5629
Israel,2000,6098,6195
Israel,2005,6726,6760
Israel,2010,7369,7326
Israel,2015,8050,7892
Israel,2020,9178,8457
Italy,1995,57295,57899
Italy,2000,57785,58802
Italy,2005,59038,59705
Italy,2010,60749,60608
Italy,2015,61856,61511
Italy,2020,62403,62413
Ivory Coast,1995,14846,15037
Ivory Coast,2000,16885,16901
Ivory Coast,2005,18921,18765
Ivory Coast,2010,21059,20629
Ivory Coast,2015,23296,22493
Ivory Coast,2020,25504,24357
Jamaica,1995,2470,2502
Jamaica,2000,2616,2616
Jamaica,2005,2737,2731
Jamaica,2010,2848,2846
Jamaica,2015,2951,2960
Jamaica,2020,3052,3075
Japan,1995,125328,121037
Japan,2000,126776,123951
Japan,2005,127716,126865
Japan,2010,127580,129779
Japan,2015,126920,132693
Japan,2020,126138,135607
Jersey,1995,85,85
Jersey,2000,88,88
Jersey,2005,89,91
Jersey,2010,94,94
Jersey,2015,98,97
Jersey,2020,102,100
Jordan,1995,4249,4272
Jordan,2000,4786,4842
Jordan,2005,5363,5413
Jordan,2010,6501,5983
Jordan,2015,8118,6554
Jordan,2020,7690,7124
Kazakhstan,1995,16390,16238
Kazakhstan,2000,15688,16897
Kazakhstan,2005,16123,17557
Kazakhstan,2010,17085,18216
Kazakhstan,2015,18158,18876
Kazakhstan,2020,19092,19536
Kenya,1995,27164,28694
Kenya,2000,30606,32162
Kenya,2005,35247,35630
Kenya,2010,40844,39099
Kenya,2015,45926,42567
Kenya,2020,49859,46035
Kiribati,1995,77,79
Kiribati,2000,86,85
Kiribati,2005,93,91
Kiribati,2010,100,97
Kiribati,2015,106,103
Kiribati,2020,112,109
Kosovo,1995,2029,1727
Kosovo,2000,1701,1816
Kosovo,2005,1768,1905
Kosovo,2010,1816,1994
Kosovo,2015,1871,2082
Kosovo,2020,1933,2171
Kuwait,1995,1665,1936
Kuwait,2000,1973,2160
Kuwait,2005,2257,2383
Kuwait,2010,2544,2607
Kuwait,2015,2789,2830
Kuwait,2020,2994,3054
Kyrgyzstan,1995,4621,4562
Kyrgyzstan,2000,4938,4880
Kyrgyzstan,2005,5165,5198
