Country,Year,Population_actual,Population_predicted
Nicaragua,1995,4402,707
Nicaragua,2000,4867,752
Nicaragua,2005,5268,798
Nicaragua,2010,5605,843
Nicaragua,2015,5908,888
Nicaragua,2020,6204,934
Niger,1995,9111,979
Niger,2000,10726,1024
Niger,2005,12783,1070
Niger,2010,15271,1115
Niger,2015,18046,1160
Niger,2020,21152,1206
Nigeria,1995,109753,1251
Nigeria,2000,123946,4992
Nigeria,2005,141190,5085
Nigeria,2010,160342,5178
Nigeria,2015,181563,5271
Nigeria,2020,204950,5364
North Korea,1995,22108,5457
North Korea,2000,22785,5550
North Korea,2005,23621,5643
North Korea,2010,24326,5736
North Korea,2015,24984,5829
North Korea,2020,25644,5922
North Macedonia,1995,1955,6015
North Macedonia,2000,2015,6108
North Macedonia,2005,2046,58160
North Macedonia,2010,2073,59841
North Macedonia,2015,2097,61522
North Macedonia,2020,2113,63204
Northern Mariana Islands,1995,58,64885
Northern Mariana Islands,2000,70,66566
Northern Mariana Islands,2005,71,68247
Northern Mariana Islands,2010,54,69928
Northern Mariana Islands,2015,53,71609
Northern Mariana Islands,2020,58,73291
Norway,1995,4360,74972
Norway,2000,4493,76653
Norway,2005,4625,78334
Norway,2010,4892,192
Norway,2015,5208,211
Norway,2020,5468,230
Oman,1995,2139,248
Oman,2000,2433,267
Oman,2005,2697,286
Oman,2010,2968,305
Oman,2015,3287,323
Oman,2020,3635,342
Pakistan,1995,134186,361
Pakistan,2000,152430,379
Pakistan,2005,169279,398
Pakistan,2010,184405,417
Pakistan,2015,199086,1023
Pakistan,2020,213720,1143
Palau,1995,18,1263
Palau,2000,20,1384
Palau,2005,21,1504
Palau,2010,21,1624
Palau,2015,22,1744
Palau,2020,22,1864
Palestine,1995,2508,1984
Palestine,2000,3111,2104
Palestine,2005,3599,2224
Palestine,2010,4120,2345
Palestine,2015,4656,2465
Palestine,2020,5181,1074
Panama,1995,2639,1226
Panama,2000,2900,1377
Panama,2005,3156,1529
Panama,2010,3411,1681
Panama,2015,3658,1832
Panama,2020,3895,1984
Papua New Guinea,1995,4216,2136
Papua New Guinea,2000,4813,2288
Papua New Guinea,2005,5440,2439
Papua New Guinea,2010,6065,2591
Papua New Guinea,2015,6673,2743
Papua New Guinea,2020,7260,2894
Paraguay,1995,4826,4921
Paraguay,2000,5419,4973
Paraguay,2005,5926,5026
Paraguay,2010,6376,5078
Paraguay,2015,6784,5131
Paraguay,2020,7192,5183
Peru,1995,23864,5235
Peru,2000,25797,5288
Peru,2005,27443,5340
Peru,2010,28948,5392
Peru,2015,30445,5445
Peru,2020,31915,5497
Philippines,1995,68472,5549
Philippines,2000,76452,79566
Philippines,2005,84965,80351
Philippines,2010,93137,81136
Philippines,2015,100999,81921
Philippines,2020,109181,82706
Poland,1995,38601,83491
Poland,2000,38655,84276
Poland,2005,38557,85061
Poland,2010,38617,85846
Poland,2015,38563,86632
Poland,2020,38283,87417
Portugal,1995,10066,88202
Portugal,2000,10336,88987
Portugal,2005,10567,16212
Portugal,2010,10736,18051
Portugal,2015,10826,19890
Portugal,2020,10843,21728
Puerto Rico,1995,3684,23567
Puerto Rico,2000,3811,25405
Puerto Rico,2005,3822,27244
Puerto Rico,2010,3722,29083
Puerto Rico,2015,3599,30921
Puerto Rico,2020,3520,32760
Qatar,1995,510,34598
Qatar,2000,640,36437
Qatar,2005,973,38276
Qatar,2010,1720,28
Qatar,2015,2195,28
